Iteration,Step,Inverter,Other,Total
0,None,79,96,177
1,InvProp,21,96,119
,TrivRep,21,96,119
,Maj-1,21,96,119
,Dist-1,21,96,119
,Assoc,21,96,119
,CompAss,21,96,119
,Relev,21,96,119
,Subst,21,96,119
,Maj-2,21,96,119
,Dist-2,21,96,119
2,InvProp,21,96,119
,TrivRep,21,96,119
,Maj-1,21,96,119
,Dist-1,21,96,119
,Assoc,21,96,119
,CompAss,21,96,119
,Relev,22,96,120
,Subst,22,96,120
,Maj-2,22,96,120
,Dist-2,22,96,120
3,InvProp,22,96,120
,TrivRep,22,96,120
,Maj-1,22,96,120
,Dist-1,22,96,120
,Assoc,22,96,120
,CompAss,22,96,120
,Relev,22,96,120
,Subst,22,96,120
,Maj-2,22,96,120
,Dist-2,22,96,120
4,InvProp,22,96,120
,TrivRep,22,96,120
,Maj-1,22,96,120
,Dist-1,22,96,120
,Assoc,22,96,120
,CompAss,22,96,120
,Relev,22,96,120
,Subst,22,96,120
,Maj-2,22,96,120
,Dist-2,22,96,120
5,InvProp,22,96,120
,TrivRep,22,96,120
,Maj-1,22,96,120
,Dist-1,22,96,120
,Assoc,22,96,120
,CompAss,22,96,120
,Relev,24,96,122
,Subst,24,96,122
,Maj-2,24,96,122
,Dist-2,24,96,122
6,InvProp,24,96,122
,TrivRep,24,96,122
,Maj-1,24,96,122
,Dist-1,24,96,122
,Assoc,24,96,122
,CompAss,24,96,122
,Relev,25,96,123
,Subst,25,96,123
,Maj-2,25,96,123
,Dist-2,25,96,123
7,InvProp,25,96,123
,TrivRep,25,96,123
,Maj-1,25,96,123
,Dist-1,25,96,123
,Assoc,25,96,123
,CompAss,25,96,123
,Relev,26,96,124
,Subst,26,96,124
,Maj-2,26,96,124
,Dist-2,25,96,123
8,InvProp,25,96,123
,TrivRep,25,96,123
,Maj-1,25,96,123
,Dist-1,25,96,123
,Assoc,25,96,123
,CompAss,25,96,123
,Relev,25,96,123
,Subst,25,96,123
,Maj-2,25,96,123
,Dist-2,25,96,123
9,InvProp,25,96,123
,TrivRep,25,96,123
,Maj-1,25,96,123
,Dist-1,25,96,123
,Assoc,25,96,123
,CompAss,25,96,123
,Relev,26,96,124
,Subst,26,96,124
,Maj-2,26,96,124
,Dist-2,25,96,123
10,InvProp,25,96,123
,TrivRep,25,96,123
,Maj-1,25,96,123
,Dist-1,25,96,123
,Assoc,25,96,123
,CompAss,25,96,123
,Relev,26,96,124
,Subst,34,108,144
,Maj-2,34,108,144
,Dist-2,34,108,144
