Iteration,Step,Inverter,Other,Total
0,None,147,191,340
1,InvProp,43,191,236
,TrivRep,43,191,236
,Maj-1,43,191,236
,Dist-1,43,191,236
,Assoc,43,191,236
,CompAss,43,191,236
,Relev,43,191,236
,Subst,43,191,236
,Maj-2,43,191,236
,Dist-2,43,191,236
2,InvProp,43,191,236
,TrivRep,43,191,236
,Maj-1,43,191,236
,Dist-1,43,191,236
,Assoc,43,191,236
,CompAss,43,191,236
,Relev,44,191,237
,Subst,44,191,237
,Maj-2,44,191,237
,Dist-2,44,191,237
3,InvProp,44,191,237
,TrivRep,44,191,237
,Maj-1,44,191,237
,Dist-1,44,191,237
,Assoc,44,191,237
,CompAss,44,191,237
,Relev,44,191,237
,Subst,44,191,237
,Maj-2,44,191,237
,Dist-2,44,191,237
4,InvProp,44,191,237
,TrivRep,44,191,237
,Maj-1,44,191,237
,Dist-1,44,191,237
,Assoc,44,191,237
,CompAss,44,191,237
,Relev,44,191,237
,Subst,44,191,237
,Maj-2,44,191,237
,Dist-2,44,191,237
5,InvProp,44,191,237
,TrivRep,44,191,237
,Maj-1,44,191,237
,Dist-1,44,191,237
,Assoc,44,191,237
,CompAss,44,191,237
,Relev,45,191,238
,Subst,45,191,238
,Maj-2,45,191,238
,Dist-2,45,191,238
6,InvProp,45,191,238
,TrivRep,45,191,238
,Maj-1,45,191,238
,Dist-1,45,191,238
,Assoc,45,191,238
,CompAss,45,191,238
,Relev,45,191,238
,Subst,45,191,238
,Maj-2,45,191,238
,Dist-2,45,191,238
7,InvProp,45,191,238
,TrivRep,45,191,238
,Maj-1,45,191,238
,Dist-1,45,191,238
,Assoc,45,191,238
,CompAss,45,191,238
,Relev,45,191,238
,Subst,45,191,238
,Maj-2,45,191,238
,Dist-2,45,191,238
8,InvProp,45,191,238
,TrivRep,45,191,238
,Maj-1,45,191,238
,Dist-1,45,191,238
,Assoc,45,191,238
,CompAss,45,191,238
,Relev,45,191,238
,Subst,45,191,238
,Maj-2,45,191,238
,Dist-2,45,191,238
9,InvProp,45,191,238
,TrivRep,45,191,238
,Maj-1,45,191,238
,Dist-1,45,191,238
,Assoc,45,191,238
,CompAss,45,191,238
,Relev,45,191,238
,Subst,45,191,238
,Maj-2,45,191,238
,Dist-2,45,191,238
10,InvProp,45,191,238
,TrivRep,45,191,238
,Maj-1,45,191,238
,Dist-1,45,191,238
,Assoc,45,191,238
,CompAss,45,191,238
,Relev,45,191,238
,Subst,49,195,246
,Maj-2,49,195,246
,Dist-2,49,195,246
11,InvProp,49,195,246
,TrivRep,50,195,247
,Maj-1,50,195,247
,Dist-1,50,195,247
,Assoc,50,195,247
,CompAss,50,195,247
,Relev,50,195,247
,Subst,50,195,247
,Maj-2,50,195,247
,Dist-2,49,195,246
12,InvProp,49,195,246
,TrivRep,49,195,246
,Maj-1,49,195,246
,Dist-1,49,195,246
,Assoc,49,195,246
,CompAss,49,195,246
,Relev,49,195,246
,Subst,49,195,246
,Maj-2,49,195,246
,Dist-2,49,195,246
13,InvProp,49,195,246
,TrivRep,49,195,246
,Maj-1,49,195,246
,Dist-1,49,195,246
,Assoc,49,195,246
,CompAss,49,195,246
,Relev,49,195,246
,Subst,49,195,246
,Maj-2,49,195,246
,Dist-2,49,195,246
14,InvProp,49,195,246
,TrivRep,49,195,246
,Maj-1,49,195,246
,Dist-1,49,195,246
,Assoc,49,195,246
,CompAss,49,195,246
,Relev,49,195,246
,Subst,51,199,252
,Maj-2,51,199,252
,Dist-2,51,199,252
15,InvProp,51,199,252
,TrivRep,52,199,253
,Maj-1,52,199,253
,Dist-1,52,199,253
,Assoc,52,199,253
,CompAss,52,199,253
,Relev,53,199,254
,Subst,53,199,254
,Maj-2,53,199,254
,Dist-2,51,199,252
16,InvProp,51,199,252
,TrivRep,51,199,252
,Maj-1,51,199,252
,Dist-1,51,199,252
,Assoc,51,199,252
,CompAss,51,199,252
,Relev,51,199,252
,Subst,51,199,252
,Maj-2,51,199,252
,Dist-2,51,199,252
17,InvProp,51,199,252
,TrivRep,51,199,252
,Maj-1,51,199,252
,Dist-1,51,199,252
,Assoc,51,199,252
,CompAss,51,199,252
,Relev,52,199,253
,Subst,52,199,253
,Maj-2,52,199,253
,Dist-2,52,199,253
18,InvProp,52,199,253
,TrivRep,52,199,253
,Maj-1,52,199,253
,Dist-1,52,199,253
,Assoc,52,199,253
,CompAss,52,199,253
,Relev,52,199,253
,Subst,52,199,253
,Maj-2,52,199,253
,Dist-2,52,199,253
19,InvProp,52,199,253
,TrivRep,52,199,253
,Maj-1,52,199,253
,Dist-1,52,199,253
,Assoc,52,199,253
,CompAss,52,199,253
,Relev,52,199,253
,Subst,52,199,253
,Maj-2,52,199,253
,Dist-2,52,199,253
20,InvProp,52,199,253
,TrivRep,52,199,253
,Maj-1,52,199,253
,Dist-1,52,199,253
,Assoc,52,199,253
,CompAss,52,199,253
,Relev,52,199,253
,Subst,52,199,253
,Maj-2,52,199,253
,Dist-2,52,199,253
