Iteration,Step,Inverter,Other,Total
0,None,1,3,6
1,InvProp,1,3,6
,TrivRep,1,3,6
,Maj-1,1,3,6
,Dist-1,1,3,6
,Assoc,1,3,6
,CompAss,1,3,6
,Relev,1,3,6
,Subst,1,3,6
,Maj-2,1,3,6
,Dist-2,1,3,6
2,InvProp,1,3,6
,TrivRep,1,3,6
,Maj-1,1,3,6
,Dist-1,1,3,6
,Assoc,1,3,6
,CompAss,1,3,6
,Relev,1,3,6
,Subst,1,3,6
,Maj-2,1,3,6
,Dist-2,1,3,6
3,InvProp,1,3,6
,TrivRep,1,3,6
,Maj-1,1,3,6
,Dist-1,1,3,6
,Assoc,1,3,6
,CompAss,1,3,6
,Relev,1,3,6
,Subst,1,3,6
,Maj-2,1,1,4
,Dist-2,0,1,3
4,InvProp,0,1,3
,TrivRep,0,1,3
,Maj-1,0,1,3
,Dist-1,0,1,3
,Assoc,0,1,3
,CompAss,0,1,3
,Relev,0,1,3
,Subst,0,1,3
,Maj-2,0,1,3
,Dist-2,0,1,3
5,InvProp,0,1,3
,TrivRep,0,1,3
,Maj-1,0,1,3
,Dist-1,0,1,3
,Assoc,0,1,3
,CompAss,0,1,3
,Relev,0,1,3
,Subst,0,1,3
,Maj-2,0,1,3
,Dist-2,0,1,3
