Iteration,Step,Inverter,Other,Total
-1,PreSubst,1,3,6
0,None,4,7,13
1,InvProp,4,7,13
,TrivRep,4,7,13
,Maj-1,4,7,13
,Dist-1,4,7,13
,Assoc,4,7,13
,CompAss,4,7,13
,Relev,4,7,13
,Subst,4,7,13
,Maj-2,4,7,13
,Dist-2,4,7,13
2,InvProp,4,7,13
,TrivRep,4,7,13
,Maj-1,4,7,13
,Dist-1,4,7,13
,Assoc,4,7,13
,CompAss,4,7,13
,Relev,4,7,13
,Subst,4,7,13
,Maj-2,4,7,13
,Dist-2,4,7,13
3,InvProp,4,7,13
,TrivRep,4,7,13
,Maj-1,4,7,13
,Dist-1,4,7,13
,Assoc,4,7,13
,CompAss,4,7,13
,Relev,4,7,13
,Subst,4,7,13
,Maj-2,4,7,13
,Dist-2,4,7,13
4,InvProp,4,7,13
,TrivRep,4,7,13
,Maj-1,4,7,13
,Dist-1,4,7,13
,Assoc,4,7,13
,CompAss,4,7,13
,Relev,4,7,13
,Subst,4,7,13
,Maj-2,4,7,13
,Dist-2,4,7,13
5,InvProp,4,7,13
,TrivRep,4,7,13
,Maj-1,4,5,11
,Dist-1,4,5,11
,Assoc,4,5,11
,CompAss,4,5,11
,Relev,4,5,11
,Subst,4,5,11
,Maj-2,4,5,11
,Dist-2,2,5,9
6,InvProp,2,5,9
,TrivRep,2,5,9
,Maj-1,2,5,9
,Dist-1,2,5,9
,Assoc,2,5,9
,CompAss,2,5,9
,Relev,2,5,9
,Subst,2,5,9
,Maj-2,2,5,9
,Dist-2,2,5,9
7,InvProp,2,5,9
,TrivRep,2,5,9
,Maj-1,2,5,9
,Dist-1,2,5,9
,Assoc,2,5,9
,CompAss,2,5,9
,Relev,2,5,9
,Subst,2,5,9
,Maj-2,2,5,9
,Dist-2,2,5,9
8,InvProp,2,5,9
,TrivRep,2,5,9
,Maj-1,2,5,9
,Dist-1,2,5,9
,Assoc,2,5,9
,CompAss,2,5,9
,Relev,2,5,9
,Subst,2,5,9
,Maj-2,2,5,9
,Dist-2,2,5,9
9,InvProp,2,5,9
,TrivRep,2,5,9
,Maj-1,2,5,9
,Dist-1,2,5,9
,Assoc,2,5,9
,CompAss,2,5,9
,Relev,2,5,9
,Subst,2,5,9
,Maj-2,2,5,9
,Dist-2,2,5,9
10,InvProp,2,5,9
,TrivRep,2,5,9
,Maj-1,2,5,9
,Dist-1,2,5,9
,Assoc,2,5,9
,CompAss,2,5,9
,Relev,2,5,9
,Subst,2,5,9
,Maj-2,2,5,9
,Dist-2,2,5,9
11,InvProp,2,5,9
,TrivRep,2,5,9
,Maj-1,2,5,9
,Dist-1,2,5,9
,Assoc,2,5,9
,CompAss,2,5,9
,Relev,2,5,9
,Subst,2,5,9
