Iteration,Step,Inverter,Other,Total
0,None,4,7,13
1,InvProp,4,7,13
,TrivRep,4,7,13
,Maj-1,4,5,11
,Dist-1,4,5,11
,Assoc,4,5,11
,CompAss,4,5,11
,Relev,4,5,11
,Subst,4,5,11
,Maj-2,4,5,11
,Dist-2,1,4,7
2,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
3,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
4,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
5,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
6,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
7,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
8,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,1,4,7
9,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
10,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
11,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
12,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
13,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,1,4,7
14,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
15,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
16,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
17,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,1,4,7
18,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
19,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
20,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
21,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
22,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
23,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,1,4,7
24,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
25,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
26,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
27,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
28,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
29,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
30,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,1,4,7
31,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
32,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
33,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
34,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
35,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
36,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
37,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
38,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
39,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
40,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
41,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
42,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
43,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
44,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
45,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
46,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
47,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
48,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
49,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
50,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,1,4,7
51,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
52,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
53,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
54,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
55,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
56,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
57,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
58,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
59,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
60,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
61,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
62,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
63,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
64,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,1,4,7
,Subst,1,4,7
,Maj-2,1,4,7
,Dist-2,1,4,7
65,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
66,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,3,4,9
67,InvProp,3,4,9
,TrivRep,3,4,9
,Maj-1,3,4,9
,Dist-1,3,4,9
,Assoc,3,4,9
,CompAss,3,4,9
,Relev,3,4,9
,Subst,3,4,9
,Maj-2,3,4,9
,Dist-2,1,4,7
68,InvProp,1,4,7
,TrivRep,1,4,7
,Maj-1,1,4,7
,Dist-1,1,4,7
,Assoc,1,4,7
,CompAss,1,4,7
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
69,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
70,InvProp,2,4,8
,TrivRep,2,4,8
,Maj-1,2,4,8
,Dist-1,2,4,8
,Assoc,2,4,8
,CompAss,2,4,8
,Relev,2,4,8
,Subst,2,4,8
,Maj-2,2,4,8
,Dist-2,2,4,8
