Iteration,Step,Inverter,Other,Total
0,None,16,14,32
1,InvProp,8,14,24
,TrivRep,8,14,24
,Maj-1,8,14,24
,Dist-1,8,14,24
,Assoc,8,14,24
,CompAss,8,14,24
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
2,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
3,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
4,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
5,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,12,18,32
,Maj-2,12,16,30
,Dist-2,11,16,29
6,InvProp,11,16,29
,TrivRep,11,16,29
,Maj-1,11,16,29
,Dist-1,11,16,29
,Assoc,11,16,29
,CompAss,11,16,29
,Relev,11,16,29
,Subst,11,16,29
,Maj-2,11,16,29
,Dist-2,10,16,28
7,InvProp,10,16,28
,TrivRep,10,16,28
,Maj-1,10,16,28
,Dist-1,10,16,28
,Assoc,10,16,28
,CompAss,10,16,28
,Relev,10,16,28
,Subst,10,16,28
,Maj-2,10,16,28
,Dist-2,10,16,28
8,InvProp,10,16,28
,TrivRep,10,16,28
,Maj-1,10,16,28
,Dist-1,10,16,28
,Assoc,10,16,28
,CompAss,10,16,28
,Relev,10,16,28
,Subst,10,16,28
,Maj-2,10,16,28
,Dist-2,10,16,28
9,InvProp,10,16,28
,TrivRep,10,16,28
,Maj-1,10,16,28
,Dist-1,10,16,28
,Assoc,10,16,28
,CompAss,10,16,28
,Relev,11,16,29
,Subst,11,16,29
,Maj-2,11,15,28
,Dist-2,11,15,28
10,InvProp,11,15,28
,TrivRep,11,15,28
,Maj-1,11,15,28
,Dist-1,11,15,28
,Assoc,11,15,28
,CompAss,11,15,28
,Relev,11,15,28
,Subst,11,15,28
,Maj-2,11,15,28
,Dist-2,11,15,28
11,InvProp,11,15,28
,TrivRep,11,15,28
,Maj-1,11,15,28
,Dist-1,11,15,28
,Assoc,11,15,28
,CompAss,11,15,28
,Relev,11,15,28
,Subst,11,15,28
,Maj-2,11,14,27
,Dist-2,11,14,27
12,InvProp,11,14,27
,TrivRep,11,14,27
,Maj-1,11,14,27
,Dist-1,11,14,27
,Assoc,11,14,27
,CompAss,11,14,27
,Relev,11,14,27
,Subst,11,14,27
,Maj-2,11,14,27
,Dist-2,11,14,27
13,InvProp,11,14,27
,TrivRep,11,14,27
,Maj-1,11,14,27
,Dist-1,11,14,27
,Assoc,11,14,27
,CompAss,11,14,27
,Relev,11,14,27
,Subst,11,14,27
,Maj-2,11,14,27
,Dist-2,11,14,27
14,InvProp,11,14,27
,TrivRep,11,14,27
,Maj-1,11,14,27
,Dist-1,11,14,27
,Assoc,11,14,27
,CompAss,11,14,27
,Relev,11,14,27
,Subst,11,14,27
,Maj-2,11,14,27
,Dist-2,11,14,27
15,InvProp,11,14,27
,TrivRep,11,14,27
,Maj-1,11,14,27
,Dist-1,11,14,27
,Assoc,11,14,27
,CompAss,11,14,27
,Relev,11,14,27
,Subst,19,20,41
,Maj-2,19,20,41
,Dist-2,19,20,41
16,InvProp,19,20,41
,TrivRep,19,20,41
,Maj-1,19,20,41
,Dist-1,19,20,41
,Assoc,19,20,41
,CompAss,19,20,41
,Relev,19,20,41
,Subst,19,20,41
,Maj-2,19,20,41
,Dist-2,19,20,41
17,InvProp,19,20,41
,TrivRep,19,20,41
,Maj-1,19,20,41
,Dist-1,19,20,41
,Assoc,19,20,41
,CompAss,19,20,41
,Relev,19,20,41
,Subst,19,20,41
,Maj-2,19,20,41
,Dist-2,19,20,41
18,InvProp,19,20,41
,TrivRep,19,20,41
,Maj-1,19,20,41
,Dist-1,19,20,41
,Assoc,19,20,41
,CompAss,19,20,41
,Relev,19,20,41
,Subst,19,20,41
,Maj-2,19,20,41
,Dist-2,19,20,41
19,InvProp,19,20,41
,TrivRep,19,20,41
,Maj-1,19,20,41
,Dist-1,19,20,41
,Assoc,19,20,41
,CompAss,19,20,41
,Relev,19,20,41
,Subst,23,24,49
,Maj-2,23,24,49
,Dist-2,23,24,49
20,InvProp,23,24,49
,TrivRep,24,24,50
,Maj-1,24,24,50
,Dist-1,24,24,50
,Assoc,24,24,50
,CompAss,24,24,50
,Relev,24,24,50
,Subst,24,24,50
,Maj-2,24,24,50
,Dist-2,23,24,49
21,InvProp,23,24,49
,TrivRep,23,24,49
,Maj-1,23,24,49
,Dist-1,23,24,49
,Assoc,23,24,49
,CompAss,23,24,49
,Relev,23,24,49
,Subst,23,24,49
,Maj-2,23,24,49
,Dist-2,23,24,49
22,InvProp,23,24,49
,TrivRep,23,24,49
,Maj-1,23,24,49
,Dist-1,23,24,49
,Assoc,23,24,49
,CompAss,23,24,49
,Relev,23,24,49
,Subst,23,24,49
,Maj-2,23,24,49
,Dist-2,23,24,49
23,InvProp,23,24,49
,TrivRep,23,24,49
,Maj-1,23,24,49
,Dist-1,23,24,49
,Assoc,23,24,49
,CompAss,23,24,49
,Relev,23,24,49
,Subst,23,24,49
,Maj-2,23,24,49
,Dist-2,23,24,49
24,InvProp,23,24,49
,TrivRep,23,24,49
,Maj-1,23,24,49
,Dist-1,23,24,49
,Assoc,23,24,49
,CompAss,23,24,49
,Relev,23,24,49
,Subst,23,24,49
,Maj-2,23,24,49
,Dist-2,23,24,49
25,InvProp,23,24,49
,TrivRep,23,24,49
,Maj-1,23,24,49
,Dist-1,23,24,49
,Assoc,23,24,49
,CompAss,23,24,49
,Relev,23,24,49
,Subst,23,24,49
,Maj-2,23,24,49
,Dist-2,23,24,49
26,InvProp,23,24,49
,TrivRep,23,24,49
,Maj-1,23,24,49
,Dist-1,23,24,49
,Assoc,23,24,49
,CompAss,23,24,49
,Relev,23,24,49
,Subst,30,30,62
,Maj-2,30,30,62
,Dist-2,30,30,62
27,InvProp,30,30,62
,TrivRep,30,30,62
,Maj-1,30,30,62
,Dist-1,30,30,62
,Assoc,30,30,62
,CompAss,30,30,62
,Relev,30,30,62
,Subst,30,30,62
,Maj-2,30,30,62
,Dist-2,30,30,62
28,InvProp,30,30,62
,TrivRep,30,30,62
,Maj-1,30,30,62
,Dist-1,30,30,62
,Assoc,30,30,62
,CompAss,30,30,62
,Relev,30,30,62
,Subst,30,30,62
,Maj-2,30,30,62
,Dist-2,30,30,62
29,InvProp,30,30,62
,TrivRep,30,30,62
